GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
42003101800,140,42,003,38300,430,,,Census Tract 1018,2522,1260,2742,1252,2522,2742,1971,2278,446,405,10,4,27,12,0,0,13,12,55,31
42003110200,140,42,003,38300,430,,,Census Tract 1102,3971,2156,4233,2247,3971,4233,2500,2559,1166,1430,10,9,142,101,0,0,36,28,117,106
42003111400,140,42,003,38300,430,,,Census Tract 1114,1353,763,1567,748,1353,1567,169,115,1087,1351,5,1,29,31,1,0,12,8,50,61
42003111500,140,42,003,38300,430,,,Census Tract 1115,3230,1995,3683,2407,3230,3683,808,698,2181,2778,5,17,139,85,0,0,10,18,87,87
42003120300,140,42,003,38300,430,,,Census Tract 1203,1650,922,2234,1059,1650,2234,38,85,1572,2086,7,10,0,5,0,0,0,7,33,41
42003120400,140,42,003,38300,430,,,Census Tract 1204,869,493,1274,653,869,1274,35,72,775,1133,3,4,18,17,0,1,6,10,32,37
42003120700,140,42,003,38300,430,,,Census Tract 1207,818,532,1114,583,818,1114,19,33,782,1047,3,3,1,4,0,1,1,9,12,17
42003120800,140,42,003,38300,430,,,Census Tract 1208,859,399,1328,775,859,1328,120,149,708,1154,1,7,2,0,0,0,7,3,21,15
42003130300,140,42,003,38300,430,,,Census Tract 1303,1153,826,1913,1160,1153,1913,25,20,1083,1846,5,3,2,2,0,1,3,7,35,34
42003130400,140,42,003,38300,430,,,Census Tract 1304,1191,681,1734,887,1191,1734,21,11,1137,1690,7,3,5,2,0,0,4,5,17,23
42003130600,140,42,003,38300,430,,,Census Tract 1306,3169,1522,4017,1901,3169,4017,65,119,2953,3764,18,12,14,9,2,0,7,31,110,79
42003140300,140,42,003,38300,430,,,Census Tract 1403,3440,1588,3422,1571,3440,3422,3055,3113,91,88,5,1,218,163,1,1,10,17,60,39
42003140400,140,42,003,38300,430,,,Census Tract 1404,2306,989,2356,1003,2306,2356,2094,2206,55,47,8,4,95,61,0,0,17,11,37,27
42003140600,140,42,003,38300,430,,,Census Tract 1406,3002,1490,3259,1527,3002,3259,2637,2823,191,281,1,2,83,84,2,1,21,10,67,53
42003140800,140,42,003,38300,430,,,Census Tract 1408,4554,2080,4382,1997,4554,4382,3815,3939,93,117,3,3,487,230,0,0,54,32,102,55
42003141400,140,42,003,38300,430,,,Census Tract 1414,5351,2843,5180,2498,5351,5180,4491,4562,189,150,5,6,479,326,0,0,57,36,130,99
42003151600,140,42,003,38300,430,,,Census Tract 1516,2363,1248,2584,1277,2363,2584,2187,2526,72,24,4,7,36,12,0,0,5,1,59,11
42003160800,140,42,003,38300,430,,,Census Tract 1608,2559,1439,2961,1492,2559,2961,2258,2767,200,134,5,4,27,10,5,0,9,6,55,40
42003190300,140,42,003,38300,430,,,Census Tract 1903,1945,1202,2159,1258,1945,2159,1848,2080,53,42,2,4,17,7,0,0,3,10,22,16
42003191100,140,42,003,38300,430,,,Census Tract 1911,2425,1393,2696,1417,2425,2696,2244,2540,69,66,2,1,53,41,0,2,8,4,49,42
42003191700,140,42,003,38300,430,,,Census Tract 1917,3448,1632,3634,1632,3448,3634,3079,3469,200,89,3,3,49,30,0,4,29,7,88,32
42003191800,140,42,003,38300,430,,,Census Tract 1918,5322,2596,5805,2538,5322,5805,4941,5616,205,51,7,5,48,58,0,0,27,13,94,58
42003202200,140,42,003,38300,430,,,Census Tract 2022,2568,1245,2966,1314,2568,2966,1531,2364,836,512,1,1,85,25,0,0,11,11,104,50
42003202300,140,42,003,38300,430,,,Census Tract 2023,4144,2118,4446,2149,4144,4446,3651,3971,169,154,2,3,211,195,0,0,20,15,91,103
42003240600,140,42,003,38300,430,,,Census Tract 2406,2714,1608,2540,1415,2714,2540,2204,2471,331,33,3,2,108,7,1,2,16,5,51,20
42003250700,140,42,003,38300,430,,,Census Tract 2507,761,393,970,448,761,970,143,189,578,755,0,0,0,0,1,0,6,2,33,20
42003250900,140,42,003,38300,430,,,Census Tract 2509,1285,760,1700,831,1285,1700,569,804,665,834,2,3,1,3,0,0,11,7,37,46
42003260900,140,42,003,38300,430,,,Census Tract 2609,1214,723,2526,879,1214,2526,57,56,1099,2427,2,5,1,0,0,0,3,13,52,25
42003261400,140,42,003,38300,430,,,Census Tract 2614,2473,1423,3293,1622,2473,3293,622,955,1755,2244,9,1,12,9,7,0,9,19,59,65
42003270300,140,42,003,38300,430,,,Census Tract 2703,1947,1014,2129,1049,1947,2129,1266,1796,566,266,1,0,18,16,0,0,8,13,88,38
42003271500,140,42,003,38300,430,,,Census Tract 2715,3167,1701,3925,1849,3167,3925,1721,3160,1316,650,13,3,8,7,1,1,21,23,87,81
42003281400,140,42,003,38300,430,,,Census Tract 2814,2352,1122,2571,1102,2352,2571,1349,1630,881,846,11,10,15,8,0,0,11,12,85,65
42003290100,140,42,003,38300,430,,,Census Tract 2901,2120,1054,2228,1089,2120,2228,1755,2099,237,88,3,3,51,7,0,3,16,4,58,23
42003290200,140,42,003,38300,430,,,Census Tract 2902,3944,1997,4320,2045,3944,4320,3413,4190,368,66,4,5,26,15,1,1,24,1,108,42
42003290400,140,42,003,38300,430,,,Census Tract 2904,4049,1990,4174,1999,4049,4174,3528,4047,367,69,8,5,36,18,0,0,6,3,104,32
42003310300,140,42,003,38300,430,,,Census Tract 3103,990,429,923,379,990,923,868,799,88,86,2,17,5,1,0,0,4,0,23,16
42003403500,140,42,003,38300,430,,,Census Tract 4035,4530,2417,4954,2536,4530,4954,4165,4646,232,180,13,13,23,29,0,1,12,12,85,68
42003404000,140,42,003,38300,430,,,Census Tract 4040,1500,815,1376,689,1500,1376,1434,1333,28,25,0,0,9,2,0,0,1,1,28,13
42003405000,140,42,003,38300,430,,,Census Tract 4050,1157,540,1271,562,1157,1271,1129,1264,1,1,0,0,6,2,0,0,3,0,18,2
42003407001,140,42,003,38300,430,,,Census Tract 4070.01,5174,2350,14722,5851,5174,14722,5089,14562,18,30,11,13,25,17,1,1,3,26,27,72
42003412002,140,42,003,38300,430,,,Census Tract 4120.02,4865,1739,4891,1639,4865,4891,4502,4661,43,41,0,3,282,138,6,15,5,1,27,30
42003420000,140,42,003,38300,430,,,Census Tract 4200,1432,899,1541,926,1432,1541,1330,1434,27,15,2,0,57,80,0,0,0,2,16,6
42003422000,140,42,003,38300,430,,,Census Tract 4220,5388,2186,5630,2085,5388,5630,4950,5256,46,32,6,1,307,289,3,1,12,7,64,41
42003423000,140,42,003,38300,430,,,Census Tract 4230,2801,1497,2990,1596,2801,2990,2568,2933,40,8,1,1,151,27,0,0,4,5,37,15
42003424000,140,42,003,38300,430,,,Census Tract 4240,3446,1869,3660,1943,3446,3660,2994,3432,232,137,7,1,59,24,1,2,26,13,127,49
42003426300,140,42,003,38300,430,,,Census Tract 4263,6037,2507,6195,2467,6037,6195,5921,6122,39,23,2,3,24,23,2,2,10,2,39,20
42003427000,140,42,003,38300,430,,,Census Tract 4270,3744,2118,4066,2112,3744,4066,3487,3945,143,39,10,8,9,7,0,0,18,26,77,39
