GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
36067016100,140,36,067,45060,532,,,Census Tract 161,2383,839,1730,591,2383,1730,1938,1621,108,33,29,20,259,31,0,0,16,4,33,21
36067016200,140,36,067,45060,532,,,Census Tract 162,2265,941,2296,928,2265,2296,1775,1920,213,161,171,134,13,4,2,0,7,5,84,67
36067016300,140,36,067,45060,532,,,Census Tract 163,8095,2775,6820,2448,8095,6820,7349,6502,376,121,59,23,138,101,0,2,49,15,124,56
36067016502,140,36,067,45060,532,,,Census Tract 165.02,4347,1859,4528,1794,4347,4528,4242,4456,13,13,14,14,27,12,0,1,8,3,43,29
36067016700,140,36,067,45060,532,,,Census Tract 167,2592,1484,2564,1265,2592,2564,2524,2538,3,1,7,0,26,14,7,0,9,1,16,10
36067016801,140,36,067,45060,532,,,Census Tract 168.01,1686,1209,1661,1095,1686,1661,1657,1640,5,1,3,7,7,3,6,0,1,0,7,10
36067016901,140,36,067,45060,532,,,Census Tract 169.01,2738,1189,2709,1139,2738,2709,2647,2634,24,12,2,6,26,16,0,0,4,6,35,35
36067016902,140,36,067,45060,532,,,Census Tract 169.02,1964,824,1974,779,1964,1974,1894,1930,4,9,17,13,7,5,2,2,13,1,27,14
36075020400,140,36,075,45060,532,,,Census Tract 204,5197,2276,5181,2211,5197,5181,5038,5085,30,9,29,23,11,11,0,1,14,10,75,42
36075020500,140,36,075,45060,532,,,Census Tract 205,5894,2613,6089,2471,5894,6089,5724,5974,22,26,35,22,15,6,0,0,13,11,85,50
36075020701,140,36,075,45060,532,,,Census Tract 207.01,4252,1877,4428,1765,4252,4428,4150,4312,13,6,22,30,17,15,0,1,0,8,50,56
36075020702,140,36,075,45060,532,,,Census Tract 207.02,4206,1882,3824,1749,4206,3824,4089,3731,15,17,20,19,17,24,0,0,11,6,54,27
36075020800,140,36,075,45060,532,,,Census Tract 208,3664,1425,3687,1367,3664,3687,3563,3608,10,14,12,20,10,7,1,0,17,2,51,36
36075021000,140,36,075,45060,532,,,Census Tract 210,5926,2382,6094,2333,5926,6094,5796,5977,24,16,17,18,12,17,0,3,14,13,63,50
36075021102,140,36,075,45060,532,,,Census Tract 211.02,2411,1061,2277,1109,2411,2277,2275,2195,26,17,13,2,15,10,1,0,36,23,45,30
36075021104,140,36,075,45060,532,,,Census Tract 211.04,2627,1279,2617,1319,2627,2617,2531,2562,18,12,10,10,17,9,0,0,18,5,33,19
36075021200,140,36,075,45060,532,,,Census Tract 212,6821,2801,7009,2869,6821,7009,6602,6839,36,38,45,32,20,16,0,0,16,24,102,60
36075021300,140,36,075,45060,532,,,Census Tract 213,4854,1935,4957,1962,4854,4957,4710,4858,23,11,18,22,11,6,0,0,27,23,65,37
36075021401,140,36,075,45060,532,,,Census Tract 214.01,7984,1905,7287,1904,7984,7287,7300,6850,271,179,12,10,161,91,4,2,118,84,118,71
36011040200,140,36,011,12180,532,,,Census Tract 402,4743,2154,5170,2160,4743,5170,4593,5036,27,20,22,28,16,9,1,2,9,2,75,73
36011040300,140,36,011,12180,532,,,Census Tract 403,4197,1860,4371,1846,4197,4371,4078,4254,29,28,9,18,3,5,1,0,19,18,58,48
36011040700,140,36,011,12180,532,,,Census Tract 407,3793,1765,3755,1608,3793,3755,3733,3714,5,4,1,1,15,20,0,0,9,3,30,13
36011041000,140,36,011,12180,532,,,Census Tract 410,5189,2528,5030,2347,5189,5030,4933,4869,39,25,15,12,26,32,5,1,91,43,80,43
36011041200,140,36,011,12180,532,,,Census Tract 412,5159,2528,5201,2442,5159,5201,5004,5111,33,27,16,7,25,7,7,0,21,7,53,41
36011041600,140,36,011,12180,532,,,Census Tract 416,2544,1136,2617,1164,2544,2617,2394,2545,73,45,6,2,15,2,2,0,8,7,46,16
36011041700,140,36,011,12180,532,,,Census Tract 417,3987,1945,4359,2045,3987,4359,3765,4155,111,94,5,10,34,26,2,0,10,20,60,54
36011042100,140,36,011,12180,532,,,Census Tract 421,4812,1515,4723,1575,4812,4723,3008,2995,1346,1270,50,25,35,26,1,3,170,289,202,115
36017970200,140,36,017,99999,999,,,Census Tract 9702,4622,2776,4910,2579,4622,4910,4496,4669,20,159,22,22,14,5,0,0,18,29,52,26
