GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
20039951200,140,20,039,99999,999,,,Census Tract 9512,1857,1085,2098,1088,1857,2098,1802,2048,13,11,12,3,5,4,0,1,8,5,17,26
20041084100,140,20,041,99999,999,,,Census Tract 841,4058,1716,3784,1567,4058,3784,3875,3636,39,13,20,17,21,14,0,0,26,26,77,78
20041084200,140,20,041,99999,999,,,Census Tract 842,2525,1119,2554,1042,2525,2554,2431,2515,6,2,5,2,4,3,0,0,36,15,43,17
20041084300,140,20,041,99999,999,,,Census Tract 843,2358,1043,2256,1005,2358,2256,2237,2165,17,16,8,12,1,5,0,0,30,26,65,32
20043020100,140,20,043,41140,999,,,Census Tract 201,2308,1061,2493,1029,2308,2493,2059,2297,110,70,54,65,5,8,0,0,13,13,67,40
20043020200,140,20,043,41140,999,,,Census Tract 202,2188,985,2311,977,2188,2311,2122,2277,14,3,10,9,4,7,0,0,2,5,36,10
20043020300,140,20,043,41140,999,,,Census Tract 203,3449,1530,3445,1483,3449,3445,3215,3250,119,92,18,26,7,6,0,0,13,15,77,56
20045000200,140,20,045,29940,999,,,Census Tract 2,6819,3231,6497,3041,6819,6497,5423,5083,426,609,332,336,87,27,9,4,142,133,400,305
20045000300,140,20,045,29940,999,,,Census Tract 3,7367,2684,6746,2876,7367,6746,6572,6017,196,151,85,123,260,190,4,8,58,110,192,147
20045000501,140,20,045,29940,999,,,Census Tract 5.01,3227,1720,3626,1699,3227,3626,2611,2883,225,333,78,126,55,37,3,2,53,72,202,173
20045000502,140,20,045,29940,999,,,Census Tract 5.02,5366,2338,5556,2358,5366,5556,4821,4974,111,160,52,84,180,152,4,4,31,46,167,136
20045000603,140,20,045,29940,999,,,Census Tract 6.03,5786,2578,4103,1793,5786,4103,4951,3626,240,192,73,54,205,102,7,1,98,41,212,85
20045000604,140,20,045,29940,999,,,Census Tract 6.04,5079,2249,3603,1564,5079,3603,4432,3183,238,169,62,47,111,89,3,0,52,36,181,75
20045000702,140,20,045,29940,999,,,Census Tract 7.02,6405,3007,6283,2767,6405,6283,5365,5363,262,302,112,99,317,252,2,2,94,71,253,194
20045000797,140,20,045,29940,999,,,Census Tract 7.97,4786,2296,4940,2191,4786,4940,4198,4440,134,120,78,53,180,189,3,0,45,36,148,102
20045000801,140,20,045,29940,999,,,Census Tract 8.01,5498,2607,3423,1443,5498,3423,4432,2935,304,133,153,76,315,121,3,4,78,56,213,98
20045000802,140,20,045,29940,999,,,Census Tract 8.02,5640,2476,5895,2446,5640,5895,4397,5128,333,250,187,121,346,202,4,0,138,58,235,136
20045000902,140,20,045,29940,999,,,Census Tract 9.02,2118,992,2090,853,2118,2090,1636,1743,85,77,89,104,162,71,1,0,36,35,109,60
20045001002,140,20,045,29940,999,,,Census Tract 10.02,5747,2272,5237,1964,5747,5237,4426,4173,413,373,241,179,245,234,2,3,95,65,325,210
20045001202,140,20,045,29940,999,,,Census Tract 12.02,7295,2764,5442,2080,7295,5442,6817,5187,51,30,111,77,63,24,3,1,56,37,194,86
20045001203,140,20,045,29940,999,,,Census Tract 12.03,6651,2542,5415,1939,6651,5415,6268,5162,100,39,41,34,30,22,3,3,33,23,176,132
20045001500,140,20,045,29940,999,,,Census Tract 15,2431,1005,2400,934,2431,2400,2240,2233,52,28,44,55,19,18,3,4,21,17,52,45
20045001600,140,20,045,29940,999,,,Census Tract 16,8687,3593,5105,1938,8687,5105,7614,4562,279,197,69,33,427,141,1,3,72,32,225,137
20047969600,140,20,047,99999,999,,,Census Tract 9696,1512,786,1726,821,1512,1726,1336,1557,9,3,17,8,0,4,0,0,142,137,8,17
20047969700,140,20,047,99999,999,,,Census Tract 9697,1525,850,1723,933,1525,1723,1422,1634,12,8,4,9,12,7,0,0,51,55,24,10
20049965100,140,20,049,99999,999,,,Census Tract 9651,2882,1760,3261,1860,2882,3261,2742,3100,0,7,42,31,12,6,1,2,19,39,66,76
20051072701,140,20,051,25700,999,,,Census Tract 727.01,5421,2532,5523,2445,5421,5523,5135,5313,61,39,12,6,37,35,1,0,68,73,107,54
20051072702,140,20,051,25700,999,,,Census Tract 727.02,2867,1185,2920,1144,2867,2920,2670,2810,7,20,14,3,13,19,1,0,115,38,47,28
20051072800,140,20,051,25700,999,,,Census Tract 728,7676,3490,7315,3183,7676,7315,7262,7115,73,30,15,7,106,48,0,3,130,54,90,58
20051072900,140,20,051,25700,999,,,Census Tract 729,6284,2829,5908,2704,6284,5908,5546,5421,91,92,17,33,228,119,3,2,247,168,152,73
20051073000,140,20,051,25700,999,,,Census Tract 730,3419,1576,3139,1409,3419,3139,3347,3091,6,1,7,5,1,1,0,0,37,20,21,21
20053086600,140,20,053,99999,999,,,Census Tract 866,2093,1422,2217,1435,2093,2217,2027,2163,1,7,12,2,3,1,0,0,11,26,39,18
20053086700,140,20,053,99999,999,,,Census Tract 867,4404,1817,4308,1793,4404,4308,3964,3949,298,225,24,29,21,15,0,1,26,30,71,59
20055960100,140,20,055,23780,999,,,Census Tract 9601,4285,1508,4562,1513,4285,4562,3857,3904,15,27,24,33,12,7,1,4,274,485,102,102
20055960200,140,20,055,23780,999,,,Census Tract 9602,7047,2307,6927,2330,7047,6927,4974,4806,253,142,52,84,402,116,2,7,1177,1554,187,218
20055960300,140,20,055,23780,999,,,Census Tract 9603,2996,1283,3094,1332,2996,3094,2451,2483,38,45,40,29,89,40,0,0,313,424,65,73
20055960401,140,20,055,23780,999,,,Census Tract 9604.01,1919,731,1931,705,1919,1931,1695,1637,18,17,7,12,43,56,2,1,125,173,29,33
20055960403,140,20,055,23780,999,,,Census Tract 9604.03,2612,1099,2629,1059,2612,2629,1994,2228,63,24,30,16,131,76,0,1,325,236,69,45
20055960507,140,20,055,23780,999,,,Census Tract 9605.07,1738,575,2305,658,1738,2305,1310,1311,75,35,5,19,96,129,0,2,212,737,40,69
20055960600,140,20,055,23780,999,,,Census Tract 9606,5683,1932,6302,2020,5683,6302,4004,3336,114,41,98,92,87,118,2,6,1168,2456,210,253
20057961600,140,20,057,19980,999,,,Census Tract 9616,1907,807,1940,771,1907,1940,1796,1896,4,2,10,4,2,0,0,0,80,19,15,19
20057961800,140,20,057,19980,999,,,Census Tract 9618,8407,3161,7443,2834,8407,7443,6585,6128,226,160,106,49,135,111,5,0,1123,823,227,172
20057961900,140,20,057,19980,999,,,Census Tract 9619,8359,2875,7616,2832,8359,7616,6268,5881,263,128,69,57,116,93,20,19,1399,1276,224,162
20057962000,140,20,057,19980,999,,,Census Tract 9620,5111,1742,5034,1746,5111,5034,3783,3366,60,84,46,35,96,156,2,3,963,1198,161,192
20057962101,140,20,057,19980,999,,,Census Tract 9621.01,4822,1499,4944,1511,4822,4944,3113,2972,89,86,51,29,84,180,25,9,1290,1511,170,153
20057962102,140,20,057,19980,999,,,Census Tract 9621.02,3277,1049,3360,1058,3277,3360,2117,2020,57,59,39,20,54,122,3,6,923,1027,84,104
20059954300,140,20,059,28140,312,,,Census Tract 9543,5473,2383,5047,2078,5473,5047,5027,4755,84,93,54,52,38,16,1,0,63,46,206,85
20059954400,140,20,059,28140,312,,,Census Tract 9544,4664,2052,4820,2092,4664,4820,4184,4427,139,150,44,62,10,32,0,0,72,56,215,93
20061000100,140,20,061,31740,999,,,Census Tract 1,2779,1297,2706,1354,2779,2706,1595,1719,634,539,35,24,71,89,6,8,165,132,273,195
20061000200,140,20,061,31740,999,,,Census Tract 2,3004,1402,2813,1472,3004,2813,1492,1101,921,1221,29,43,104,78,38,17,160,144,260,209
20061000300,140,20,061,31740,999,,,Census Tract 3,4952,2121,3563,1607,4952,3563,2861,1750,1340,1240,36,23,173,144,36,17,167,165,339,224
20061000500,140,20,061,31740,999,,,Census Tract 5,2820,1398,3242,1679,2820,3242,1871,2258,481,600,40,20,85,82,33,21,147,75,163,186
20061000700,140,20,061,31740,999,,,Census Tract 7,2627,1293,2299,1042,2627,2299,2115,2005,194,117,29,16,33,47,14,3,75,51,167,60
20061000800,140,20,061,31740,999,,,Census Tract 8,6034,2385,3578,1413,6034,3578,4421,2768,813,400,47,16,220,106,43,17,112,97,378,174
20063955100,140,20,063,99999,999,,,Census Tract 9551,1701,807,1890,858,1701,1890,1665,1842,6,2,2,4,11,3,1,0,5,15,11,24
20063955200,140,20,063,99999,999,,,Census Tract 9552,994,566,1178,565,994,1178,981,1163,2,1,0,1,0,0,0,0,6,7,5,6
20065952100,140,20,065,99999,999,,,Census Tract 9521,996,630,1187,667,996,1187,921,1132,32,37,5,7,4,1,0,0,7,1,27,9
20067963700,140,20,067,99999,999,,,Census Tract 9637,6332,2358,6152,2332,6332,6152,5007,4631,45,17,83,58,26,28,0,0,1008,1292,163,126
20069962600,140,20,069,99999,999,,,Census Tract 9626,3026,1190,2794,1077,3026,2794,2771,2587,12,8,13,15,11,3,0,2,172,145,47,34
20073965700,140,20,073,99999,999,,,Census Tract 9657,2766,1479,3058,1628,2766,3058,2632,2943,6,4,24,24,11,4,0,0,28,28,65,55
20077961700,140,20,077,99999,999,,,Census Tract 9617,1478,765,1561,784,1478,1561,1427,1532,5,4,13,12,0,1,0,1,15,1,18,10
20077961800,140,20,077,99999,999,,,Census Tract 9618,2405,1281,2653,1347,2405,2653,2264,2549,12,7,34,29,4,5,6,0,34,13,51,50
20079030100,140,20,079,48620,556,,,Census Tract 301,4611,1973,4395,1829,4611,4395,4102,3868,112,122,50,21,31,14,2,6,176,252,138,112
20079030200,140,20,079,48620,556,,,Census Tract 302,5539,2438,5498,2352,5539,5498,4954,4953,108,102,56,24,39,35,3,1,218,256,161,127
20079030400,140,20,079,48620,556,,,Census Tract 304,5341,2304,5340,2244,5341,5340,4781,4716,113,95,36,21,41,40,3,2,215,314,152,152
20079030600,140,20,079,48620,556,,,Census Tract 306,7256,2967,6799,2731,7256,6799,6969,6534,39,21,40,49,24,18,0,0,77,71,107,106
20081463100,140,20,081,99999,999,,,Census Tract 4631,4256,1666,4307,1639,4256,4307,3641,3664,12,8,28,25,10,27,0,0,479,493,86,90
20083461100,140,20,083,99999,999,,,Census Tract 4611,1916,973,2085,945,1916,2085,1806,2029,20,19,3,5,8,0,0,0,48,10,31,22
20085082600,140,20,085,45820,999,,,Census Tract 826,5389,2253,5075,1985,5389,5075,5027,4808,20,14,185,137,17,8,1,0,13,23,126,81
20085082700,140,20,085,45820,999,,,Census Tract 827,4005,1914,3922,1742,4005,3922,3644,3680,37,39,116,104,26,7,0,0,67,18,115,74
20087020101,140,20,087,45820,999,,,Census Tract 201.01,6178,2519,5645,2282,6178,5645,5955,5442,27,24,61,48,17,9,1,1,20,20,97,98
20087020300,140,20,087,45820,999,,,Census Tract 203,5663,2460,5576,2231,5663,5576,5453,5376,24,16,53,60,13,11,2,0,27,31,91,82
20089576100,140,20,089,99999,999,,,Census Tract 5761,1096,872,1426,838,1096,1426,1076,1401,1,0,6,13,0,1,0,1,6,0,7,10
20089576200,140,20,089,99999,999,,,Census Tract 5762,1981,1160,2365,1265,1981,2365,1918,2344,4,1,14,0,6,1,0,0,7,2,32,17
20091980001,140,20,091,28140,312,,,Census Tract 9800.01,5,3,4,2,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
20091050100,140,20,091,28140,312,,,Census Tract 501,4245,2139,4160,1965,4245,4160,3605,3785,188,109,21,27,80,67,2,1,197,98,152,73
20091050301,140,20,091,28140,312,,,Census Tract 503.01,3904,2573,4116,2553,3904,4116,3090,3569,304,157,20,20,274,207,1,0,110,64,105,99
20091050302,140,20,091,28140,312,,,Census Tract 503.02,1514,932,1759,938,1514,1759,1314,1605,57,70,6,3,43,18,1,1,38,31,55,31
20091050400,140,20,091,28140,312,,,Census Tract 504,4699,2394,4871,2294,4699,4871,3861,4156,311,267,14,17,112,113,1,1,255,217,145,100
20091050500,140,20,091,28140,312,,,Census Tract 505,2591,1149,2753,1145,2591,2753,2267,2560,113,42,7,15,44,30,2,1,57,49,101,56
20091050600,140,20,091,28140,312,,,Census Tract 506,4481,2120,4824,2117,4481,4824,4142,4614,58,36,21,18,82,53,1,0,91,40,86,59
20091050700,140,20,091,28140,312,,,Census Tract 507,4555,2130,4728,2140,4555,4728,4353,4559,45,35,7,8,53,46,0,2,21,32,76,46
20091050800,140,20,091,28140,312,,,Census Tract 508,2584,1005,2623,1011,2584,2623,2509,2557,5,2,9,6,32,29,0,0,9,12,20,17
20091050900,140,20,091,28140,312,,,Census Tract 509,4496,2028,4628,1984,4496,4628,4308,4490,24,24,9,6,75,38,0,0,24,26,56,44
20091051000,140,20,091,28140,312,,,Census Tract 510,3566,1690,3720,1687,3566,3720,3437,3610,21,7,10,4,31,11,0,0,12,35,55,51
20091051100,140,20,091,28140,312,,,Census Tract 511,3531,1751,3700,1731,3531,3700,3049,3385,76,86,20,12,63,62,1,6,244,84,78,65
20091051200,140,20,091,28140,312,,,Census Tract 512,3893,2179,4156,2177,3893,4156,3392,3824,148,93,12,16,102,82,3,7,137,74,99,60
20091051300,140,20,091,28140,312,,,Census Tract 513,4139,2065,4443,2073,4139,4443,3784,4164,116,65,16,18,87,57,0,2,63,49,73,88
20091051400,140,20,091,28140,312,,,Census Tract 514,3102,1493,3168,1484,3102,3168,2992,3073,29,31,3,4,26,16,1,0,13,19,38,25
20091051500,140,20,091,28140,312,,,Census Tract 515,3950,2062,4051,2063,3950,4051,3684,3844,63,46,10,8,64,55,1,2,36,39,92,54
20091051600,140,20,091,28140,312,,,Census Tract 516,5050,2086,4876,2083,5050,4876,4880,4747,18,9,5,5,77,53,1,0,16,12,53,48
20091051700,140,20,091,28140,312,,,Census Tract 517,4470,1875,4592,1793,4470,4592,4310,4466,35,22,1,4,53,54,0,0,21,15,50,31
20091051802,140,20,091,28140,312,,,Census Tract 518.02,5792,2995,6273,2993,5792,6273,4890,5594,287,150,26,12,270,262,11,0,162,159,146,96
20091051803,140,20,091,28140,312,,,Census Tract 518.03,4383,2143,4405,2068,4383,4405,3676,3983,236,86,16,19,186,220,0,1,139,37,130,59
20091051804,140,20,091,28140,312,,,Census Tract 518.04,5024,2577,5488,2568,5024,5488,4317,4610,215,107,21,6,121,529,0,2,219,163,131,71
20091051805,140,20,091,28140,312,,,Census Tract 518.05,5382,2505,5405,2170,5382,5405,4942,5092,151,79,34,18,116,102,1,1,41,24,97,89
20091051806,140,20,091,28140,312,,,Census Tract 518.06,4555,2123,4302,1745,4555,4302,4222,4123,122,53,10,10,116,68,1,1,22,16,62,31
20091051902,140,20,091,28140,312,,,Census Tract 519.02,4252,1798,4446,1803,4252,4446,3683,4082,246,145,17,7,124,115,2,1,64,55,116,41
20091051903,140,20,091,28140,312,,,Census Tract 519.03,3123,1302,3019,1284,3123,3019,2398,2731,317,90,16,9,90,62,2,1,125,50,175,76
20091051906,140,20,091,28140,312,,,Census Tract 519.06,5694,2692,4992,2265,5694,4992,3850,4224,740,271,42,38,213,173,1,5,585,158,263,123
20091051907,140,20,091,28140,312,,,Census Tract 519.07,3712,1651,3583,1620,3712,3583,2626,2980,470,237,35,25,75,155,1,2,299,105,206,76
20091051909,140,20,091,28140,312,,,Census Tract 519.09,5288,2494,5673,2510,5288,5673,4622,5077,246,230,8,12,149,176,0,0,138,58,125,117
20091052001,140,20,091,28140,312,,,Census Tract 520.01,2134,1297,1983,1195,2134,1983,1760,1777,112,63,12,12,91,81,3,0,82,24,74,26
20091052003,140,20,091,28140,312,,,Census Tract 520.03,6413,3114,6519,3119,6413,6519,5201,5613,466,267,21,30,129,170,8,2,354,251,234,186
20091052004,140,20,091,28140,312,,,Census Tract 520.04,1656,862,1609,841,1656,1609,1368,1457,68,39,11,14,24,25,1,1,91,30,93,43
20091052101,140,20,091,28140,312,,,Census Tract 521.01,2026,887,2015,842,2026,2015,1721,1839,77,30,8,4,49,27,1,0,105,61,65,54
20091052201,140,20,091,28140,312,,,Census Tract 522.01,3524,1456,3694,1451,3524,3694,2779,3124,371,299,19,13,97,76,0,0,131,87,127,95
20091052202,140,20,091,28140,312,,,Census Tract 522.02,3290,1380,3614,1365,3290,3614,3060,3465,50,35,25,8,29,16,0,0,39,34,87,56
20091052303,140,20,091,28140,312,,,Census Tract 523.03,7192,3280,5316,2010,7192,5316,5646,4700,901,260,30,21,278,178,5,0,117,74,215,83
20091052304,140,20,091,28140,312,,,Census Tract 523.04,4823,1946,5098,1934,4823,5098,4176,4616,217,137,25,17,211,173,5,2,74,77,115,76
