id,year,exclude,Film,Rotten Tomatoes,Audience Score,Story,Genre,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profit,Proftitability
603,2009,y,"Pirate Radio (The Boat that Rocked, UK)",60,72,Comedy,Comedy,33.3,2.2,36.3,50,-13.7,0.73
604,2009,,Planet 51 ,22,45,Comedy,Animation,51.9,19.6,73.4,50,23.4,1.47
605,2009,y,Post Grad ,7,31,Maturation,Comedy,6.38,0,6.38,15,-8.62,0.43
606,2009,y,Public Enemies ,67,65,Underdog,Biography,97.1,117,214.1,102.5,111.6,2.09
607,2009,y,Push ,22,47,Quest,Action,31.7,12.6,44.4,38,6.4,1.17
608,2009,y,Race to Witch Mountain ,42,50,Quest,Action,67.17,37.93,105.1,50,55.1,2.1
609,2009,,Saw VI ,40,67,Escape,Horror,31.8,17,49.3,11,38.3,4.48
610,2009,,Sherlock Holmes ,70,81,The Riddle,Action,197.6,197,394.6,90,304.6,4.38
611,2009,y,Sorority Row ,22,38,Pursuit,Horror,11.97,1.6,13.56,12.5,1.06,1.08
612,2009,,Star Trek ,94,91,Revenge,Action,257.7,127.8,385.5,140,245.5,2.75
613,2009,y,State of Play ,84,71,The Riddle,Crime,37.02,51.32,88.3,60,28.3,1.47
614,2009,y,Street Fighter: The Legend of Chun-Li ,16,28,Revenge,Action,9.14,3.2,12.34,50,-37.66,0.25
615,2009,y,Sunshine Cleaning ,72,59,Transformation,Comedy,12.1,2.5,14.6,5,9.6,2.92
616,2009,y,Surrogates ,39,42,Pursuit,Action,73.3,24,99.4,80,19.4,1.24
617,2009,,Taken ,58,83,Pursuit,Action,145,81.8,226.8,25,201.8,9.07
618,2009,y,Taking Woodstock ,48,48,Quest,Comedy,7.5,2.5,9.9,29,-19.1,0.34
619,2009,,Terminator Salvation ,33,64,Monster Force,Action,125.3,246.7,372,200,172,1.86
620,2009,,The Blind Side ,65,90,Rags To Riches,Biography,255.8,39.3,295.1,29,266.1,10.18
621,2009,y,The Box ,46,27,Temptation,Drama,15.1,11.3,26.34,25,1.34,1.05
622,2009,,Fantastic Mr. Fox ,93,80,Rivalry,Animation,20.5,21.8,42.78,40,2.78,1.07
623,2009,,The Final Destination ,29,52,Escape,Horror,66.5,86.1,152.6,40,112.6,3.82
624,2009,y,The Fourth Kind ,18,44,Monster Force,Mystery,26.22,5.5,31.72,10,21.72,3.17
625,2009,,The Hangover ,79,87,Comedy,Comedy,277.3,190,467.3,35,432.3,13.35
626,2009,y,The Haunting in Connecticut ,17,51,Monster Force,Drama,42.7,33.8,76.8,30,46.8,2.56
627,2009,,The Hurt Locker ,97,83,Quest,Drama,14.7,3.4,18.1,15,3.1,1.21
628,2009,y,The Informant! ,78,42,Comedy,Comedy,13.7,20.8,35.5,22,13.5,1.61
629,2009,y,The International ,58,39,The Riddle,Action,25.5,34.7,60.2,50,10.2,1.2
630,2009,y,The Invention of Lying ,56,47,Love,Comedy,23.1,8.5,32,18.5,13.5,1.73
631,2009,,The Lovely Bones ,32,57,Tragedy,Drama,44,48.3,92.3,65,27.3,1.42
632,2009,,The Men Who Stare at Goats ,52,43,Comedy,Comedy,32.4,15.8,48.2,24,24.2,2.01
633,2009,y,The Pink Panther 2 ,12,47,Comedy,Adventure,41.6,34.2,75.9,59,16.9,1.29
634,2009,y,The Princess and the Frog ,84,72,Metamorphosis,Animation,104.3,143,247.3,105,142.3,2.36
635,2009,,The Proposal ,43,74,Love,Comedy,164,150.7,314.7,40,274.7,7.87
636,2009,,The Road ,75,65,Quest,Adventure,7.9,6.5,14.3,25,-10.7,0.57
637,2009,y,The Soloist ,56,59,Quest,Drama,31.7,6.2,37.92,60,-22.08,0.63
638,2009,y,The Stepfather,12,48,Rescue,Mystery,29.1,2.13,31.2,20,11.2,1.56
639,2009,,The Taking of Pelham 1 2 3 ,51,60,Rescue,Action,65.5,84.6,150,110,40,1.36
640,2009,,The Time Traveler's Wife ,38,65,Love,Drama,40.6,37.6,79.7,39,40.7,2.04
641,2009,,The Twilight Saga: New Moon ,27,78,Love,Drama,293.8,410.3,704.2,50,654.2,14.08
642,2009,,The Ugly Truth ,14,68,Love,Comedy,88.9,116.4,205.3,38,167.3,5.4
643,2009,,The Unborn,11,39,Monster Force,Horror,35.9,40,76.5,16,60.5,4.78
645,2009,,Transformers: Revenge of the Fallen ,20,76,Revenge,Action,402.1,434.2,836.3,210,626.3,3.98
646,2009,,Underworld: Rise of the Lycans ,30,68,Rivalry,Action,37,50.8,91.1,35,56.1,2.6
647,2009,,Up ,98,86,Journey And Return,Animation,293,434,727.1,175,552.1,4.15
648,2009,,Up in the Air ,90,76,Maturation,Drama,83.82,78.2,162.02,25,137.02,6.48
649,2009,,Watchmen ,64,68,Sacrifice,Action,107.5,77.7,185.3,138,47.3,1.34
650,2009,y,Whatever Works ,50,63,Discovery,Comedy,5.3,23.7,29,15,14,1.93
651,2009,,Where the Wild Things Are ,73,59,Journey And Return,Adventure,63.4,16.3,85.3,100,-14.7,0.85
652,2009,y,Whip It ,84,73,Maturation,Drama,13,3,16,15,1,1.07
653,2009,y,Whiteout ,7,28,Pursuit,Action,10.3,1.9,12.2,35,-22.8,0.35
654,2009,,X-Men Origins: Wolverine ,37,72,Revenge,Action,179.9,193.2,373.1,150,223.1,2.49
655,2009,y,Year One ,14,31,Quest,Adventure,32.4,26.2,60.2,60,0.2,1
656,2009,,Zombieland ,90,87,Monster Force,Action,49.2,42.5,93.3,23.6,69.7,3.95
