id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
109,2010,,The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,516.76%,12,"Sup. Actor, Sup. Actress",,,
110,2010,,The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,133.38%,2,,,,
111,2010,,The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,6.83%,0.3,,,,
112,2010,,The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,64.10%,0.51,,,http://www.imdb.com/title/tt1285309/,
113,2010,,The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,897.83%,55.7,,,,
114,2010,,The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,734.25%,3.5,,,,
115,2010,,The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,27.54%,11.1,,,,
116,2010,,The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,1634.67%,4.4,"Best Picture, Director,  Actor, Orig. Screenplay",,,
117,2010,,The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,212.75%,40.3,,,,
118,2010,,The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,3692.22%,20.4,,,,
119,2010,,The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,445.20%,16,,,,
120,2010,,The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,117.52%,9.4,,,,
121,2010,,The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,20.6,41.75,30,139.17%,6.54,,,,
122,2010,,The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,170.27%,35.5,,,,
123,2010,,The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,46.80%,0.8,,,,
124,2010,,The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,94.08,105.52,199.6,50,399.20%,22.4,,,,
125,2010,,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,143.52%,17.6,,,,
126,2010,y,The Spy Next Door,Relativity Media,13,46,Rivalry,Action,2924,3326,24.31,19.27,43.58,,,9.7,,,,
127,2010,,The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19,251.21%,8.4,,,,
128,2010,,The Tourist,Sony,20,44,,,2756,5977,67,210,278.34,100,278.34%,16,,,,
129,2010,,The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37,390.68%,23.8,,,,
130,2010,,The Twilight Saga: Eclipse	,Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68,1019.97%,64.8,,,,
131,2010,,The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,93.19%,31.5,,,,
132,2010,y,Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.34,112.36,48,234.08%,14,,,,
133,2010,,Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415,648.16,1063.16,200,531.58%,110.3,,,,
134,2010,,Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.2,291.41,170,171.42%,44.03,,,,
135,2010,,True Grit,Paramount,96,86,,,3047,8149,171,79,250.93,38,660.34%,24,,,,
136,2010,,Unstoppable,Fox,86,73,Rescue,Action,3207,7075,80.02,66,146.02,100,146.02%,22.69,,,,
137,2010,,Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,416.33%,56.2,,,,
138,2010,,Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20,399.90%,12.2,,,,
139,2010,,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70,186.61%,19,,,,
140,2010,y,When in Rome,Disney,15,44,Love,Comedy,2456,5029,32.68,10.36,43.04,,,12.3,,,,
141,2010,,Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,303.35%,29.3,,,,
142,2010,,Winter's Bone,Independent,94,73,Quest,Drama,?,,6.25,1.54,7.8,2,390.00%,0.8,,,,
143,2010,,Yogi Bear,,14,36,,Comedy,3515,4669,100,101,201.58,80,251.98%,16.4,,,http://boxofficemojo.com/movies/?id=yogibear.htm,
144,2010,,You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.7,6.16,31.86,20,159.30%,8.4,,,,
145,2010,,You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,23.42,26.66,22,121.18%,0.16,,,,
146,2010,,Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18,109.00%,6.9,,,,
