id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
174,2011,,The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.8,129,227.8,120,189.83%,33.5,,,http://boxofficemojo.com/movies/?id=greenhornet.htm,
175,2011,,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.1,209.64,35,598.97%,28.3,,,http://boxofficemojo.com/movies/?id=horriblebosses.htm,
176,2011,,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,887.33%,26.25,,,http://boxofficemojo.com/movies/?id=wiigapatow.htm,
177,2011,,Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,,11.36,,,,
178,2011,,Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.3,284.39,130,218.76%,34.08,,,http://boxofficemojo.com/movies/?id=pussinboots12.htm,
179,2011,,Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,268.68%,30.51,,,http://boxofficemojo.com/movies/?id=thepretendwife.htm,
180,2011,,The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.8,72.43,45,160.95%,29.24,,,http://boxofficemojo.com/movies/?id=themuppets.htm,
181,2011,,Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94,193.97,36,538.80%,25.36,,,http://www.imdb.com/title/tt0377981/,
182,2011,,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.2,269.81,110,245.28%,27.32,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,
183,2011,,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.7,19.72,72.42,21,344.84%,23.75,,,http://boxofficemojo.com/movies/?id=diaryofawimpykid2.htm,
184,2011,,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,2840,7450,62.5,65.37,127.87,50.2,254.72%,21.16,,,http://boxofficemojo.com/movies/?id=adjustmentbureau.htm,
185,2011,,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15,83.91,79,106.22%,25,,,http://boxofficemojo.com/movies/?id=jackandjill.htm,
186,2011,,Unknown,Independant,55,57,The Riddle,Thriller,3043,7183,63.69,67.1,130.79,30,435.95%,21.86,,,http://boxofficemojo.com/movies/?id=unknownwhitemale11.htm,
187,2011,,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,82.58%,1.75,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,
188,2011,,Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.5,47,121.5,75,162.01%,24.03,,,http://boxofficemojo.com/movies/?id=towerheist.htm,
189,2011,,Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.8,135.44,60,225.74%,22.4,,,http://boxofficemojo.com/movies/?id=contagion.htm,
190,2011,,Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.6,161.85,27,599.44%,18.91,,,http://boxofficemojo.com/movies/?id=darkfields.htm,
191,2011,,Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.9,102.11,50,204.22%,19.5,,,http://boxofficemojo.com/movies/?id=moneyball.htm,
192,2011,,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.6,77.1,147.7,25,590.80%,19.7,,,http://boxofficemojo.com/movies/?id=friendswithbenefits.htm,
193,2011,,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.8,93.74,149.54,35,427.26%,18.62,,,http://boxofficemojo.com/movies/?id=friendswithbenefits10.htm,
194,2011,,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.5,142.84,50,285.68%,19.1,,,http://boxofficemojo.com/movies/?id=crazystupidlove.htm,
195,2011,,Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.4,89.79,82,109.50%,19.06,,,http://boxofficemojo.com/movies/?id=suckerpunch.htm,
196,2011,,I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.1,89.4,144.5,60,240.83%,19.45,,,http://boxofficemojo.com/movies/?id=iamnumberfour.htm,
197,2011,,The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.4,0.4,4.8,15,32.00%,0.6,,,http://boxofficemojo.com/movies/?id=companymen.htm,
198,2011,,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.5,21.2,69.7,70,99.57%,17.8,,,http://boxofficemojo.com/movies/?id=howardvaughnjames.htm,
199,2011,,Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,308.14%,16.84,,,http://boxofficemojo.com/movies/?id=waterforelephants.htm,
200,2011,,The Roommate,Independant,4,29,Monster Force,Horror,2534,5921,37.3,3.19,40.49,16,253.08%,15,,,http://boxofficemojo.com/movies/?id=roommate10.htm,
201,2011,,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.2,106.51,135,78.89%,21.24,,,http://boxofficemojo.com/movies/?id=happyfeet2.htm,
202,2011,,J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,??,35.06,35,100.16%,11.22,,,http://boxofficemojo.com/movies/?id=jedgar.htm,
203,2011,,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.3,80,212.88%,20.07,,,http://boxofficemojo.com/movies/?id=zookeeper.htm,
204,2011,,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.3,157.89,40,394.72%,18.03,,,http://boxofficemojo.com/movies/?id=finaldestination5.htm,
205,2011,,Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,242.84%,18.69,,,http://boxofficemojo.com/movies/?id=scream4.htm,
206,2011,,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,340.65%,18.45,,,http://boxofficemojo.com/movies/?id=mrpopperspenguins.htm,
207,2011,,Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43,97.01,1.5,6467.27%,13.27,,,http://boxofficemojo.com/movies/?id=insidious.htm,
208,2011,,Dolphin Tale,Independant,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,237.69%,19.15,,,http://boxofficemojo.com/movies/?id=dolphintale.htm,
209,2011,,The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,227.15%,9.91,,,http://boxofficemojo.com/movies/?id=debt.htm,
210,2011,,Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,169.61%,9.85,,,http://boxofficemojo.com/movies/?id=beastly.htm,
211,2011,,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,385.24%,14.81,,,http://boxofficemojo.com/movies/?id=sourcecode.htm,
212,2011,,The Conspirator,Independant,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,56.84%,3.51,,,http://boxofficemojo.com/movies/?id=conspirator.htm,
213,2011,,The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33,63,96,37,259.46%,14.8,,,http://boxofficemojo.com/movies/?id=rite.htm ,
214,2011,,The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.4,6.37,21,30.33%,0.11,,,http://boxofficemojo.com/movies/?id=beaver.htm,
215,2011,,Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,212.60%,12.37,,,http://boxofficemojo.com/movies/?id=hanna.htm,
216,2011,,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17,75.01,40,187.52%,13.21,,,http://boxofficemojo.com/movies/?id=lincolnlawyer.htm,
217,2011,,Something Borrowed,Independant,,,Love,Romance,2904,4802,39.05,21.14,60.18,35,171.95%,13.95,,,http://boxofficemojo.com/movies/?id=somethingborrowed.htm,
218,2011,,Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,245.93%,10.6,,,http://boxofficemojo.com/movies/?id=soulsurfer.htm,
219,2011,,The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.7,54.19,12.5,433.55%,10.47,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,
220,2011,,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.9,62.05,24,258.55%,15.56,,,http://boxofficemojo.com/movies/?id=footloose2010.htm,
221,2011,,Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,244.96%,13.04,,,http://boxofficemojo.com/movies/?id=paul.htm,
222,2011,,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,136.22%,13.53,,,http://boxofficemojo.com/movies/?id=changeup.htm,
223,2011,,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.5,89.16,42,212.29%,14.01,,,http://boxofficemojo.com/movies/?id=redridinghood.htm,
224,2011,,30 Minutes or Less,Independant,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,144.81%,13.33,,,http://boxofficemojo.com/movies/?id=30minutesorless.htm,
225,2011,,Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.1,83.16,36,231.00%,13.54,,,http://boxofficemojo.com/movies/?id=hallpass.htm,
226,2011,,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,179.18%,12.95,,,http://boxofficemojo.com/movies/?id=haroldandkumar3.htm,
227,2011,,Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.8,52.41,30,174.69%,13.1,,,http://boxofficemojo.com/movies/?id=larrycrowne.htm,
228,2011,,The Mechanic,Independant,53,52,Revenge,Action,2703,4226,29.2,22,51.2,40,128.00%,11.4,,,http://boxofficemojo.com/movies/?id=mechanic.htm,
229,2011,,Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.3,60.97,40,152.41%,10.41,,,http://boxofficemojo.com/movies/?id=colombiana.htm,
230,2011,,Drive,Independant,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,446.71%,11.34,,,http://boxofficemojo.com/movies/?id=drive2011.htm,
231,2011,,In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.9,127.39,40,318.48%,12.05,,,http://boxofficemojo.com/movies/?id=now.htm,
232,2011,,Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,47.30%,1.02,,,http://boxofficemojo.com/movies/?id=anonymous.htm,
233,2011,,The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,108.48%,8.68,,,http://boxofficemojo.com/movies/?id=eagleoftheninth.htm,
234,2011,,Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.8,66.8,91.6,40,229.00%,12,,,http://boxofficemojo.com/movies/?page=main&id=seasonofthewitch.htm,
235,2011,,Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.7,45.74,40,114.34%,12.22,,,http://boxofficemojo.com/movies/?id=arthur2011.htm,
236,2011,,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.7,57.5,91.2,150,60.80%,12.07,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,
237,2011,,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,274.37%,11.64,,,http://boxofficemojo.com/movies/?id=spykids4.htm,
238,2011,,50/50,Independant,93,93,Discovery,Comedy,2458,3517,34.9,1.62,36.51,8,456.39%,8.64,,,http://boxofficemojo.com/movies/?id=50fifty.htm,
239,2011,,Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54,82.07,35,234.48%,10.93,,,http://boxofficemojo.com/movies/?id=abduction11.htm,
240,2011,,Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.2,85.4,108.6,30,362.00%,9.4,,,http://boxofficemojo.com/movies/?id=sanctum.htm,
241,2011,,Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.6,3.26,24.86,49.9,49.81%,9.36,,,http://boxofficemojo.com/movies/?id=yourhighness.htm,
242,2011,,Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.3,27.5,48.8,90,54.22%,10.02,,,http://boxofficemojo.com/movies/?id=conan3d.htm,
243,2011,,Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,110.51%,7.86,,,http://boxofficemojo.com/movies/?id=winniethepooh.htm,
244,2011,,Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,75.66%,9.35,,,http://boxofficemojo.com/movies/?id=killerelite.htm,
245,2011,,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.5,31.55,25,126.18%,8.53,,,http://boxofficemojo.com/movies/?id=dontbeafraidofthedark.htm,
246,2011,,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.3,17.2,38.5,50,77.00%,8.13,,,http://boxofficemojo.com/movies/?id=dreamhouse.htm,
247,2011,,Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,198.32%,7.45,,,http://boxofficemojo.com/movies/?id=montecarlo.htm,
248,2011,,Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.7,25,154.81%,8.4,,,http://boxofficemojo.com/movies/?id=shark3d.htm,
249,2011,,Waiting For Forever,Independant,6,53,Love,Romance,3,2972,0.03,?,0.03,5,0.50%,0.01,,,http://boxofficemojo.com/movies/?id=waitingforforever.htm,
250,2011,,One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.4,55.24,15,368.27%,5.08,,,http://boxofficemojo.com/movies/?id=oneday.htm,
251,2011,,The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.9,132.15,75,176.20%,8.67,,,http://boxofficemojo.com/movies/?id=threemusketeers11.htm,
252,2011,,The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.5,27.43,38,72.18%,8.49,,,http://boxofficemojo.com/movies/?id=thing11.htm,
253,2011,,Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.4,23.06,25,92.23%,5.24,,,http://boxofficemojo.com/movies/?id=warrior10.htm,
254,2011,,Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,??,24.82,5,496.32%,,,,http://boxofficemojo.com/movies/?id=ouridiotbrother.htm,
255,2011,,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,511.24%,8.7,,,http://boxofficemojo.com/movies/?id=apollo18.htm,
256,2011,,Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.3,18.8,37.1,30,123.67%,7.71,,,http://boxofficemojo.com/movies/?id=frightnight2011.htm,
257,2011,,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,350.98%,3.83,,,http://boxofficemojo.com/movies/?id=johnnyenglish2.htm,
258,2011,,Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,64.29%,5.19,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/02/movie-projector-hall-pass-farrelly-brothers-drive-angry-nicolas-cage.html,
259,2011,,The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,47.89%,5.14,,,http://boxofficemojo.com/movies/?id=rumdiary.htm,
260,2011,,Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,130.51%,14.95,,,http://boxofficemojo.com/movies/?id=priest07.htm,
261,2011,,Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.6,38.99,150,25.99%,6.91,,,http://boxofficemojo.com/movies/?id=marsneedsmoms.htm,
262,2011,,What's Your Number,20th Centruy Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,152.13%,5.42,,,http://boxofficemojo.com/movies/?id=whatsyournumber.htm,
263,2011,,Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,?,6.93,25,27.71%,3.46,,,http://goforamovie.com/tag/take-me-home-tonight-budget/,
264,2011,,The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,18.07%,3.25,,,http://boxofficemojo.com/movies/?id=bigyear.htm,
265,2011,,Never Back Down 2: The Beatdown,Sony,,,Rivalry,Action,,,,,41.63,3,1387.57%,8.6,,,http://www.imdb.com/title/tt1754264/,
266,2011,,A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,44.86%,0.17,,,http://boxofficemojo.com/movies/?id=dangerousmethod.htm,
267,2011,,Take Shelter,Independant,92,85,Sacrifice,Drama,,,1.57,?,1.57,5,31.46%,0.05,,,http://boxofficemojo.com/movies/?id=takeshelter.htm,
268,2011,,Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,443.19%,0.14,,,http://boxofficemojo.com/movies/?id=beginners.htm,
269,2011,,Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.15,,#VALUE!,0.18,,,,
270,2011,,Another Earth,Independant,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,660.50%,0.08,,,http://boxofficemojo.com/movies/?id=anotherearth.htm,
271,2011,,Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,253.40%,0.56,,,http://boxofficemojo.com/movies/?id=margincall.htm,
272,2011,,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.1,30,3.68%,0.05,,,http://boxofficemojo.com/movies/?id=machinegunpreacher.htm,
273,2011,,Hesher,Independant,54,68,Wretched Excess,Drama,,,0.38,??,0.38,7,5.46%,0.13,,,http://boxofficemojo.com/movies/?id=hesher.htm,
274,2011,,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,10.67%,0,,,http://en.wikipedia.org/wiki/Vanishing_on_7th_Street,
275,2011,,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,68.61%,0.3,,,http://qctimes.com/news/local/article_b7491eb8-3d68-11e0-b394-001cc4c03286.html,
276,2011,,The Son Of No One,Independant,18,61,Discovery,Thriller,,,0.03,?,0.03,15,0.20%,0.02,,,http://en.wikipedia.org/wiki/The_Son_of_No_One,
277,2011,,Red State,Independant,57,59,Escape,Horror,,,1.1,?,1.1,4,27.60%,,,,http://www.movieline.com/2011/04/how-kevin-smiths-red-state-earned-back-its-budget-six-months-before-release.php,
278,2011,,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,54.22%,0.79,,,http://boxofficemojo.com/movies/?id=everythingmustgo.htm,
279,2011,,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,23.17%,0.75,,,http://boxofficemojo.com/movies/?id=dylandog.htm,
280,2011,,Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.1,3.12,35,8.93%,0.02,,,http://en.wikipedia.org/wiki/Trespass_%282011_film%29,
