id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profit,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
181,2011,,Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94,193.97,36,157.97,538.80%,25.36,,,http://www.imdb.com/title/tt0377981/,
182,2011,,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.2,269.81,110,159.81,245.28%,27.32,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,
183,2011,,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.7,19.72,72.42,21,51.42,344.84%,23.75,,,http://boxofficemojo.com/movies/?id=diaryofawimpykid2.htm,
184,2011,,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,2840,7450,62.5,65.37,127.87,50.2,77.67,254.72%,21.16,,,http://boxofficemojo.com/movies/?id=adjustmentbureau.htm,
185,2011,,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15,83.91,79,4.91,106.22%,25,,,http://boxofficemojo.com/movies/?id=jackandjill.htm,
186,2011,,Unknown,Independant,55,57,The Riddle,Thriller,3043,7183,63.69,67.1,130.79,30,100.79,435.95%,21.86,,,http://boxofficemojo.com/movies/?id=unknownwhitemale11.htm,
187,2011,,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,-1.74,82.58%,1.75,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,
188,2011,,Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.5,47,121.5,75,46.5,162.01%,24.03,,,http://boxofficemojo.com/movies/?id=towerheist.htm,
189,2011,,Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.8,135.44,60,75.44,225.74%,22.4,,,http://boxofficemojo.com/movies/?id=contagion.htm,
190,2011,,Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.6,161.85,27,134.85,599.44%,18.91,,,http://boxofficemojo.com/movies/?id=darkfields.htm,
191,2011,,Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.9,102.11,50,52.11,204.22%,19.5,,,http://boxofficemojo.com/movies/?id=moneyball.htm,
192,2011,,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.6,77.1,147.7,25,122.7,590.80%,19.7,,,http://boxofficemojo.com/movies/?id=friendswithbenefits.htm,
193,2011,,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.8,93.74,149.54,35,114.54,427.26%,18.62,,,http://boxofficemojo.com/movies/?id=friendswithbenefits10.htm,
194,2011,,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.5,142.84,50,92.84,285.68%,19.1,,,http://boxofficemojo.com/movies/?id=crazystupidlove.htm,
195,2011,,Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.4,89.79,82,7.79,109.50%,19.06,,,http://boxofficemojo.com/movies/?id=suckerpunch.htm,
196,2011,,I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.1,89.4,144.5,60,84.5,240.83%,19.45,,,http://boxofficemojo.com/movies/?id=iamnumberfour.htm,
197,2011,,The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.4,0.4,4.8,15,-10.2,32.00%,0.6,,,http://boxofficemojo.com/movies/?id=companymen.htm,
198,2011,,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.5,21.2,69.7,70,-0.3,99.57%,17.8,,,http://boxofficemojo.com/movies/?id=howardvaughnjames.htm,
199,2011,,Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,79.09,308.14%,16.84,,,http://boxofficemojo.com/movies/?id=waterforelephants.htm,
200,2011,,The Roommate,Independant,4,29,Monster Force,Horror,2534,5921,37.3,3.19,40.49,16,24.49,253.08%,15,,,http://boxofficemojo.com/movies/?id=roommate10.htm,
201,2011,,Happy Feet 2,Village Roadshow Pictures,41,59,Journey And Return,Animation,3606,5889,57.31,49.2,106.51,135,-28.49,78.89%,21.24,,,http://boxofficemojo.com/movies/?id=happyfeet2.htm,
202,2011,,J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,??,35.06,35,0.06,100.16%,11.22,,,http://boxofficemojo.com/movies/?id=jedgar.htm,
203,2011,,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.3,80,90.3,212.88%,20.07,,,http://boxofficemojo.com/movies/?id=zookeeper.htm,
204,2011,,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.3,157.89,40,117.89,394.72%,18.03,,,http://boxofficemojo.com/movies/?id=finaldestination5.htm,
205,2011,,Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,57.14,242.84%,18.69,,,http://boxofficemojo.com/movies/?id=scream4.htm,
206,2011,,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,132.36,340.65%,18.45,,,http://boxofficemojo.com/movies/?id=mrpopperspenguins.htm,
207,2011,,Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43,97.01,1.5,95.51,6467.27%,13.27,,,http://boxofficemojo.com/movies/?id=insidious.htm,
208,2011,,Dolphin Tale,Independant,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,50.95,237.69%,19.15,,,http://boxofficemojo.com/movies/?id=dolphintale.htm,
209,2011,,The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,25.43,227.15%,9.91,,,http://boxofficemojo.com/movies/?id=debt.htm,
210,2011,,Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,11.83,169.61%,9.85,,,http://boxofficemojo.com/movies/?id=beastly.htm,
211,2011,,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,91.28,385.24%,14.81,,,http://boxofficemojo.com/movies/?id=sourcecode.htm,
212,2011,,The Conspirator,Independant,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,-10.79,56.84%,3.51,,,http://boxofficemojo.com/movies/?id=conspirator.htm,
213,2011,,The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33,63,96,37,59,259.46%,14.8,,,http://boxofficemojo.com/movies/?id=rite.htm ,
214,2011,,The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.4,6.37,21,-14.63,30.33%,0.11,,,http://boxofficemojo.com/movies/?id=beaver.htm,
215,2011,,Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,33.78,212.60%,12.37,,,http://boxofficemojo.com/movies/?id=hanna.htm,
216,2011,,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17,75.01,40,35.01,187.52%,13.21,,,http://boxofficemojo.com/movies/?id=lincolnlawyer.htm,
217,2011,,Something Borrowed,Independant,14,49,Love,Romance,2904,4802,39.05,21.14,60.18,35,25.18,171.95%,13.95,,,http://boxofficemojo.com/movies/?id=somethingborrowed.htm,
218,2011,,Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,26.27,245.93%,10.6,,,http://boxofficemojo.com/movies/?id=soulsurfer.htm,
219,2011,,The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.7,54.19,12.5,41.69,433.55%,10.47,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,
220,2011,,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.9,62.05,24,38.05,258.55%,15.56,,,http://boxofficemojo.com/movies/?id=footloose2010.htm,
221,2011,,Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,57.98,244.96%,13.04,,,http://boxofficemojo.com/movies/?id=paul.htm,
222,2011,,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,18.83,136.22%,13.53,,,http://boxofficemojo.com/movies/?id=changeup.htm,
223,2011,,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.5,89.16,42,47.16,212.29%,14.01,,,http://boxofficemojo.com/movies/?id=redridinghood.htm,
224,2011,,30 Minutes or Less,Independant,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,12.55,144.81%,13.33,,,http://boxofficemojo.com/movies/?id=30minutesorless.htm,
225,2011,,Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.1,83.16,36,47.16,231.00%,13.54,,,http://boxofficemojo.com/movies/?id=hallpass.htm,
226,2011,,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,15.04,179.18%,12.95,,,http://boxofficemojo.com/movies/?id=haroldandkumar3.htm,
227,2011,,Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.8,52.41,30,22.41,174.69%,13.1,,,http://boxofficemojo.com/movies/?id=larrycrowne.htm,
228,2011,,The Mechanic,Independant,53,52,Revenge,Action,2703,4226,29.2,22,51.2,40,11.2,128.00%,11.4,,,http://boxofficemojo.com/movies/?id=mechanic.htm,
229,2011,,Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.3,60.97,40,20.97,152.41%,10.41,,,http://boxofficemojo.com/movies/?id=colombiana.htm,
230,2011,,Drive,Independant,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,52.01,446.71%,11.34,,,http://boxofficemojo.com/movies/?id=drive2011.htm,
231,2011,,In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.9,127.39,40,87.39,318.48%,12.05,,,http://boxofficemojo.com/movies/?id=now.htm,
232,2011,,Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,-15.81,47.30%,1.02,,,http://boxofficemojo.com/movies/?id=anonymous.htm,
233,2011,,The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,2.12,108.48%,8.68,,,http://boxofficemojo.com/movies/?id=eagleoftheninth.htm,
234,2011,,Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.8,66.8,91.6,40,51.6,229.00%,12,,,http://boxofficemojo.com/movies/?page=main&id=seasonofthewitch.htm,
235,2011,,Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.7,45.74,40,5.74,114.34%,12.22,,,http://boxofficemojo.com/movies/?id=arthur2011.htm,
236,2011,,Arthur Christmas,Aardman Animations,92,82,Journey And Return,Animation,3376,3537,33.7,57.5,91.2,150,-58.8,60.80%,12.07,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,
237,2011,,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,47.08,274.37%,11.64,,,http://boxofficemojo.com/movies/?id=spykids4.htm,
238,2011,,50/50,Independant,93,93,Discovery,Comedy,2458,3517,34.9,1.62,36.51,8,28.51,456.39%,8.64,,,http://boxofficemojo.com/movies/?id=50fifty.htm,
239,2011,,Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54,82.07,35,47.07,234.48%,10.93,,,http://boxofficemojo.com/movies/?id=abduction11.htm,
240,2011,,Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.2,85.4,108.6,30,78.6,362.00%,9.4,,,http://boxofficemojo.com/movies/?id=sanctum.htm,
241,2011,,Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.6,3.26,24.86,49.9,-25.04,49.81%,9.36,,,http://boxofficemojo.com/movies/?id=yourhighness.htm,
242,2011,,Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.3,27.5,48.8,90,-41.2,54.22%,10.02,,,http://boxofficemojo.com/movies/?id=conan3d.htm,
243,2011,,Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,3.15,110.51%,7.86,,,http://boxofficemojo.com/movies/?id=winniethepooh.htm,
244,2011,,Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,-17.04,75.66%,9.35,,,http://boxofficemojo.com/movies/?id=killerelite.htm,
245,2011,,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.5,31.55,25,6.55,126.18%,8.53,,,http://boxofficemojo.com/movies/?id=dontbeafraidofthedark.htm,
246,2011,,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.3,17.2,38.5,50,-11.5,77.00%,8.13,,,http://boxofficemojo.com/movies/?id=dreamhouse.htm,
247,2011,,Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,19.66,198.32%,7.45,,,http://boxofficemojo.com/movies/?id=montecarlo.htm,
248,2011,,Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.7,25,13.7,154.81%,8.4,,,http://boxofficemojo.com/movies/?id=shark3d.htm,
249,2011,,Waiting For Forever,Independant,6,53,Love,Romance,3,2972,0.03,?,0.03,5,-4.97,0.50%,0.01,,,http://boxofficemojo.com/movies/?id=waitingforforever.htm,
250,2011,,One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.4,55.24,15,40.24,368.27%,5.08,,,http://boxofficemojo.com/movies/?id=oneday.htm,
251,2011,,The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.9,132.15,75,57.15,176.20%,8.67,,,http://boxofficemojo.com/movies/?id=threemusketeers11.htm,
252,2011,,The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.5,27.43,38,-10.57,72.18%,8.49,,,http://boxofficemojo.com/movies/?id=thing11.htm,
253,2011,,Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.4,23.06,25,-1.94,92.23%,5.24,,,http://boxofficemojo.com/movies/?id=warrior10.htm,
254,2011,,Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,??,24.82,5,19.82,496.32%,,,,http://boxofficemojo.com/movies/?id=ouridiotbrother.htm,
255,2011,,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,20.56,511.24%,8.7,,,http://boxofficemojo.com/movies/?id=apollo18.htm,
256,2011,,Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.3,18.8,37.1,30,7.1,123.67%,7.71,,,http://boxofficemojo.com/movies/?id=frightnight2011.htm,
257,2011,,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,112.94,350.98%,3.83,,,http://boxofficemojo.com/movies/?id=johnnyenglish2.htm,
258,2011,,Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,-16.07,64.29%,5.19,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/02/movie-projector-hall-pass-farrelly-brothers-drive-angry-nicolas-cage.html,
259,2011,,The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,-23.45,47.89%,5.14,,,http://boxofficemojo.com/movies/?id=rumdiary.htm,
260,2011,,Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,18.31,130.51%,14.95,,,http://boxofficemojo.com/movies/?id=priest07.htm,
261,2011,,Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.6,38.99,150,-111.01,25.99%,6.91,,,http://boxofficemojo.com/movies/?id=marsneedsmoms.htm,
262,2011,,What's Your Number,20th Centruy Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,10.43,152.13%,5.42,,,http://boxofficemojo.com/movies/?id=whatsyournumber.htm,
263,2011,,Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,?,6.93,25,-18.07,27.71%,3.46,,,http://goforamovie.com/tag/take-me-home-tonight-budget/,
264,2011,,The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,-33.59,18.07%,3.25,,,http://boxofficemojo.com/movies/?id=bigyear.htm,
265,2011,,Never Back Down 2: The Beatdown,Sony,,43,Rivalry,Action,,,,,41.63,3,38.63,1387.57%,8.6,,,http://www.imdb.com/title/tt1754264/,
266,2011,,A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,-11.03,44.86%,0.17,,,http://boxofficemojo.com/movies/?id=dangerousmethod.htm,
267,2011,,Take Shelter,Independant,92,85,Sacrifice,Drama,,,1.57,?,1.57,5,-3.43,31.46%,0.05,,,http://boxofficemojo.com/movies/?id=takeshelter.htm,
268,2011,,Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,10.98,443.19%,0.14,,,http://boxofficemojo.com/movies/?id=beginners.htm,
269,2011,,Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.15,,30.15,#VALUE!,0.18,,,,
270,2011,,Another Earth,Independant,63,74,Temptation,Adventure,,,1.32,,1.32,0.2,1.12,660.50%,0.08,,,http://boxofficemojo.com/movies/?id=anotherearth.htm,
271,2011,,Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,5.37,253.40%,0.56,,,http://boxofficemojo.com/movies/?id=margincall.htm,
272,2011,,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.1,30,-28.9,3.68%,0.05,,,http://boxofficemojo.com/movies/?id=machinegunpreacher.htm,
273,2011,,Hesher,Independant,54,68,Wretched Excess,Drama,,,0.38,??,0.38,7,-6.62,5.46%,0.13,,,http://boxofficemojo.com/movies/?id=hesher.htm,
274,2011,,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,-8.93,10.67%,0,,,http://en.wikipedia.org/wiki/Vanishing_on_7th_Street,
275,2011,,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,-3.14,68.61%,0.3,,,http://qctimes.com/news/local/article_b7491eb8-3d68-11e0-b394-001cc4c03286.html,
276,2011,,The Son Of No One,Independant,18,61,Discovery,Thriller,,,0.03,?,0.03,15,-14.97,0.20%,0.02,,,http://en.wikipedia.org/wiki/The_Son_of_No_One,
277,2011,,Red State,Independant,57,59,Escape,Horror,,,1.1,?,1.1,4,-2.9,27.60%,?,,,http://www.movieline.com/2011/04/how-kevin-smiths-red-state-earned-back-its-budget-six-months-before-release.php,
278,2011,,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,-2.29,54.22%,0.79,,,http://boxofficemojo.com/movies/?id=everythingmustgo.htm,
279,2011,,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,-15.37,23.17%,0.75,,,http://boxofficemojo.com/movies/?id=dylandog.htm,
280,2011,,Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.1,3.12,35,-31.88,8.93%,0.02,,,http://en.wikipedia.org/wiki/Trespass_%282011_film%29,
281,2007,,Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.5,87.69,231.18,7.5,223.68,3082.46%,10.6,Original Screenplay,Original Screenplay,,
282,2007,,Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.3,76.05,139.35,10,129.35,1393.53%,31.7,,,,
283,2007,,Waitress,Independent,89,67,Love,Romance,605,3327,19.07,3.1,22.18,2,20.18,1108.97%,2,,,,
284,2007,,Superbad,Sony,88,87,Comedy,Comedy,2948,11211,121.46,48.41,169.87,20,149.87,849.36%,33,,,,
285,2007,,The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.14,343.93,527.07,75,452.07,702.76%,74,,,,
286,2007,,300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.61,245.45,456.07,65,391.07,701.64%,70.9,,,,
287,2007,,The Game Plan,Disney,27,75,Discovery,Comedy,3103,7396,90.64,57.23,147.87,22,125.87,672.13%,22.9,,,,
288,2007,,Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219,33,186,663.64%,30.7,,,,
289,2007,,No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.28,86.72,161,25,136,644.00%,7.8,"Best Picture, Director, Supporting Actor, Adapted Screenplay","Supporting Actor, Director",,
290,2007,,Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Quest,Adventure,4285,17998,292,647.88,939.88,150,789.88,626.59%,77.1,,,,
291,2007,,Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.21,37.55,117.76,20,97.76,588.80%,22.2,,,,
292,2007,,Hitman,Fox,15,61,Quest,Action,2458,5362,39.69,60.28,99.96,17.5,82.46,571.22%,13.2,,,,
293,2007,,Stomp the Yard,Independent,27,83,Maturation,Romance,2051,10645,61.36,14.15,75.51,14,61.51,539.37%,21.9,,,,
294,2007,,Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.33,143.14,360.47,70,290.47,514.95%,44.3,,,,
295,2007,,P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.7,99.4,153.09,30,123.09,510.31%,6.5,,,,
296,2007,,Shrek the Third,Paramount,42,57,Quest,Animation,4122,29507,322.72,476.24,798.96,160,638.96,499.35%,121.6,,,,
297,2007,,Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.25,389.03,708.27,150,558.27,472.18%,70.5,,,,
298,2007,,Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.74,47.13,86.87,20,66.87,434.33%,18.6,,,,
299,2007,,Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.85,36.14,84,20,64,419.98%,17.6,,,,
300,2007,,Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.45,414.98,621.42,150,471.42,414.28%,47,Animated,Animated,,
301,2007,,The Bourne Ultimatum,Universal,93,91,Pursuit,Thriller,3660,18929,227.47,215.35,442.82,110,332.82,402.57%,69.3,,,,
302,2007,,Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85,255.49,400.57%,34.4,,,,
303,2007,,Sicko,The Weinstein Company,93,87,Quest,Documentary,702,5128,24.54,11.23,35.77,9,26.77,397.42%,3.6,,,,
304,2007,,Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.27,20.2,78.47,20,58.47,392.35%,26.4,,,,
305,2007,,I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.39,327.76,584.16,150,434.16,389.44%,77.2,,,,
306,2007,,The Bucket List,Warner Bros.,41,81,Discovery,Drama,2911,6661,93.47,80.84,174.31,45,129.31,387.36%,19.4,,,,
307,2007,,Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.2,0.66,55.86,15,40.86,372.42%,21.4,,,,
308,2007,,Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.03,43.96,92.99,25,67.99,371.97%,10.4,Supporting Actress,Supporting Actress,,
309,2007,,Into the Wild,Paramount,82,90,Quest,Drama,658,3249,18.35,37.28,55.63,15,40.63,370.90%,2.1,,,,
310,2007,,Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.15,194.16,311.31,85,226.31,366.25%,36.1,,,,
311,2007,,The Kite Runner,Paramount,66,85,Maturation,Drama,715,2243,15.8,57.39,73.19,20,53.19,365.97%,1.6,,,,
312,2007,,Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.9,40,105.9,364.74%,13.6,,,,
313,2007,,Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,3490,17.61,18.01,35.62,10,25.62,356.20%,8.2,,,,
314,2007,,National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.96,237.4,457.36,130,327.36,351.82%,44.8,,,,
315,2007,,Live Free or Die Hard,Fox,79,86,Rescue,Action,3408,9791,134.53,249,383.53,110,273.53,348.66%,33.4,,,,
316,2007,,Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,35540,336.53,554.34,890.87,258,632.87,345.30%,151.1,,,,
317,2007,,Smokin' Aces,Universal,27,64,Pursuit,Action,2218,6599,35.79,21.32,57.1,17,40.1,335.91%,14.6,,,,
318,2007,y,No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.6,28,64.6,330.72%,11.7,,,,
319,2007,,Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.8,87.09,128.88,40,88.88,322.21%,10,,,,
320,2007,,Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,26302,309.42,651.58,961,300,661,320.33%,114.7,,,,
321,2007,,The Mist,The Weinstein Company,72,64,Monster Force,Horror,2423,3686,25.59,31.24,56.83,18,38.83,315.72%,8.9,,,,
322,2007,,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Horror,1249,7446,52.9,99.63,152.52,50,102.52,305.05%,9.3,,,,
323,2007,,There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.22,35.96,76.18,25,51.18,304.73%,4.9,Best Actor,Leading Actor,,
324,2007,,Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,1459,13.24,4.96,18.2,6,12.2,303.29%,3.4,,,,
325,2007,,Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.27,85.35,253.63,90,163.63,281.81%,39.7,,,,
326,2007,,Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Adventure,3164,3043,32.06,36.89,68.95,25,43.95,275.79%,6.9,,,,
327,2007,y,TMNT,,33,63,Monster Force,Action,3110,7799,54.15,40.86,95.01,35,60.01,271.46%,24.3,,,,
328,2007,,Hairspray,Warner Bros.,92,84,Underdog,Comedy,3121,8803,118.87,83.68,202.55,75,127.55,270.06%,27.5,,,,
329,2007,,American Gangster,Universal,79,87,Pursuit,Thriller,3054,14264,130.16,137.74,267.9,100,167.9,267.90%,43.6,,,,
330,2007,,Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.67,63.64,159.31,60,99.31,265.52%,34.2,,,,
331,2007,,We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.56,26.26,54.83,21,33.83,261.08%,10.8,,,,
332,2007,,The Hills Have Eyes 2,Independent,11,50,Monster Force,Horror,2447,3958,20.8,16.66,37.47,15,22.47,249.77%,9.7,,,,
333,2007,,Mr. Brooks,MGM,56,75,Temptation,Thriller,2453,4083,28.55,19.57,48.12,20,28.12,240.61%,10,,,,
334,2007,,Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.59,27.11,145.71,61,84.71,238.87%,33,,,,
335,2007,y,Good Luck Chuck,,3,61,Love,Comedy,2612,5226,35.02,24.17,59.19,25,34.19,236.77%,13.7,,,,
336,2007,,The Nanny Diaries,The Weinstein Company,33,52,Discovery,Comedy,2629,2845,25.93,21.07,47,20,27,235.00%,7.5,,,,
337,2007,,30 Days of Night,Independent,50,57,Monster Force,Horror,2855,5587,39.57,35.53,75.1,32,43.1,234.67%,15.6,,,,
338,2007,,Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.92,157.13,289.05,130,159.05,222.34%,58,,,,
